2025-11-18 01:35:34, MOVE, v:1, k:poo@pula-pula, mode:PICK
2025-11-18 01:35:35, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:52
2025-11-18 01:35:59, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:52
2025-11-18 01:36:24, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:52
2025-11-18 01:36:57, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:52
2025-11-18 01:51:49, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:54
2025-11-18 01:52:12, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:54
2025-11-18 01:54:49, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:48
2025-11-18 01:55:17, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:49
2025-11-18 01:56:00, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:49
2025-11-18 01:58:18, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:49
2025-11-18 01:59:40, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:47
2025-11-18 01:59:48, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:46
2025-11-18 02:00:20, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:48
2025-11-18 02:08:17, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:47
2025-11-18 02:14:23, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:49
2025-11-18 02:18:15, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:10, size:48
2025-11-18 02:27:49, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:20, size:49
2025-11-18 02:33:26, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:20, size:53
2025-11-18 02:34:01, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:20, size:55
2025-11-18 02:35:47, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:10, size:56
2025-11-18 02:37:18, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:10, size:56
2025-11-18 02:38:35, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:10, size:52
2025-11-18 02:38:45, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:20, size:50
2025-11-18 02:45:32, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:10, size:56
2025-11-18 02:49:09, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:10, size:56
2025-11-18 02:49:25, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:40, size:56
2025-11-18 02:50:05, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:50, size:57
2025-11-18 02:55:52, EXEC, v:1, k:poo@pula-pula, mode:FREE
2025-11-18 02:56:03, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:50
2025-11-18 02:58:09, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:50, size:65
2025-11-18 02:58:29, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:50, size:65
2025-11-18 02:58:44, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:50, size:65
2025-11-18 03:01:05, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:30, size:65
2025-11-18 03:01:17, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:60, size:65
2025-11-18 03:05:39, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:40, size:72
2025-11-18 03:09:44, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:40, size:72
2025-11-18 05:57:19, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:60, size:79
2025-11-18 05:58:10, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:60, size:79
2025-11-18 05:58:32, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:60, size:79
2025-11-18 05:59:12, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:60, size:79
2025-11-18 05:59:51, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:70, size:79
2025-11-18 06:03:08, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:70, size:85
2025-11-18 06:05:28, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:90, size:88
2025-11-18 06:11:58, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:90, size:92
2025-11-18 06:12:41, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:90, size:95
2025-11-18 06:13:28, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:90, size:95
2025-11-18 06:16:39, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:40, size:95
2025-11-18 06:18:23, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:100, size:95
2025-11-18 06:18:30, MOVE, v:1, k:poo@pula-pula, mode:BACK
2025-11-18 06:19:04, SELF, v:1, k:poo@budega, rate:100, iagen:s, guide:s, alone:8, study:180
2025-11-18 06:20:14, SELF, v:1, k:poo@pula-pula, rate:100, iagen:s, alone:7, study:180
