2025-11-19 00:03:07, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:71, size:124
2025-11-19 00:03:46, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:71, size:124
2025-11-19 00:04:23, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:71, size:124
2025-11-19 00:04:37, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:71, size:124
2025-11-19 00:04:51, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:100, size:124
2025-11-19 00:14:47, MOVE, v:1, k:poo@lapiseira, mode:BACK
2025-11-19 00:16:23, SELF, v:1, k:poo@lapiseira, rate:100, other:s, alone:9, study:150
2025-11-19 10:09:05, MOVE, v:1, k:poo@lapiseira, mode:PICK
2025-11-19 10:09:12, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:85, size:124
2025-11-19 10:09:26, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:100, size:124
2025-11-19 10:13:22, MOVE, v:1, k:poo@lapiseira, mode:BACK
2025-11-19 10:13:28, MOVE, v:1, k:poo@cinema, mode:PICK
2025-11-19 10:34:35, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:21
2025-11-19 10:37:33, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:34
2025-11-19 10:37:46, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:36
2025-11-19 10:39:23, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:35
2025-11-19 10:39:41, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:35
2025-11-19 10:40:23, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:35
2025-11-19 10:41:01, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:35
2025-11-19 10:41:36, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:38
2025-11-19 10:42:26, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:37
2025-11-19 10:42:35, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:38
2025-11-19 10:43:24, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:38
2025-11-19 10:44:12, EXEC, v:1, k:poo@cinema, mode:FULL, rate:11, size:40
2025-11-19 10:45:46, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:44
2025-11-19 10:46:32, EXEC, v:1, k:poo@cinema, mode:FULL, rate:0, size:44
2025-11-19 10:47:02, EXEC, v:1, k:poo@cinema, mode:FULL, rate:11, size:44
2025-11-19 10:47:21, EXEC, v:1, k:poo@cinema, mode:FULL, rate:11, size:44
2025-11-19 10:50:08, EXEC, v:1, k:poo@cinema, mode:FULL, rate:11, size:47
2025-11-19 10:50:29, EXEC, v:1, k:poo@cinema, mode:FULL, rate:11, size:47
2025-11-19 10:52:37, EXEC, v:1, k:poo@cinema, mode:FULL, rate:33, size:47
2025-11-19 10:53:31, EXEC, v:1, k:poo@cinema, mode:FULL, rate:33, size:47
